Applicant,Address,Latitude,Longitude,FoodItems
The Geez Freeze,3750 18TH ST,37.7620192,-122.4273064,Snow Cones: Soft Serve Ice Cream & Frozen Virgin Daiquiris
Datam SF LLC dba Anzu To You,2535 TAYLOR ST,37.80588535,-122.4159452,Asian Fusion - Japanese Sandwiches/Sliders/Misubi
Casita Vegana,Assessors Block 7283/Lot004,37.72188971,-122.4925212,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes
Truly Food & More,217 SANSOME ST,37.79238986,-122.4012697,Latin Food: Tacos: Pupusas: Vegetables: Salad: Waters: Sodas
MOMO INNOVATION LLC,351 CALIFORNIA ST,37.79287075,-122.4007475,Noodles: Meat & Drinks
MOMO INNOVATION LLC,101 CALIFORNIA ST,37.79294895,-122.3980986,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles
Treats by the Bay LLC,1 MONTGOMERY ST,37.78924953,-122.4024186,Sandwich: Donuts: Coffee: Soft Serve Ice Cream: Drinks
MOMO INNOVATION LLC,667 MISSION ST,37.78655805,-122.4010334,Noodles: Meat & Drinks
Treats by the Bay LLC,120 ELLIS ST,37.78561009,-122.4081548,Prepackaged Kettlecorn
MOMO INNOVATION LLC,1 BUSH ST,37.79092151,-122.4001004,Noodles
The Chef Station,8 10TH ST,37.77582552,-122.4172496,South American/Peruvian food
MOMO INNOVATION LLC,555 MISSION ST,37.78844616,-122.3986412,Noodles
Treats by the Bay LLC,201 02ND ST,37.78680165,-122.3978716,Prepackaged Kettlecorn
San Pancho's Tacos,3119 ALEMANY BLVD,37.71019302,-122.4552219,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks
Truly Food & More,505 HOWARD ST,37.78798865,-122.3961007,Latin Food: Tacos: Pupusas: Vegetables: Salad: Waters: Sodas
Truly Food & More,602 MISSION ST,37.78797328,-122.400185,Latin Food: Tacos: Pupusas: Vegetables: Salad: Waters: Sodas
San Pancho's Tacos,1271 CAPITOL AVE,37.72429778,-122.4593773,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks
San Pancho's Tacos,491 BAY SHORE BLVD,0,0,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks
Zuri Food Facilities,475 CALIFORNIA ST,37.79234639,-122.4023853,Peruvian Food Served Hot
